"球员","所属球队","出场.替补.","出场时间","进球.点.","分钟.球","射门","射正","入球转化率","被侵犯","越位","最佳","生日","惯用脚","国籍","合同截止期","位置","铲断","拦截","解围","偷球","封堵","头球","犯规","总传球","传球成功率","关键传球","助攻","分钟.助攻","长传","直塞","带球摆脱","联赛","名次","身价"
"利希施泰纳","阿森纳","14(4)",940,"0",0,1,0,"0%",10,2,0,"1984-01-16","右脚","瑞士","2019-06-30","后卫",15,8,23,11,4,19,11,479,0.787,3,0,0,37,0,4,"英超",21,135
"托雷拉","阿森纳","34(10)",2380,"2",1190,25,6,"8%",77,0,0,"1996-02-11","右脚","乌拉圭、西班牙","2023-06-30","中场",63,39,33,28,7,20,37,1586,0.877,16,2,1190,99,2,12,"英超",21,4950
"拉卡泽特","阿森纳","35(8)",2505,"13",192.7,80,30,"16.2%",54,24,4,"1991-05-28","右脚","法国、瓜德罗普","2022-06-30","前锋",36,15,29,60,1,45,51,768,0.745,31,8,313.1,29,10,45,"英超",21,5400
"奈尔斯","阿森纳","16(5)",1040,"1",1040,5,3,"20%",12,1,1,"1997-08-29","右脚","英格兰","2023-06-30","中场",30,19,11,15,4,6,8,450,0.784,6,1,1040,33,0,17,"英超",21,630
"古恩多兹","阿森纳","33(10)",2142,"0",0,16,3,"0%",62,0,0,"1999-04-14","右脚","法国、摩洛哥","2022-06-30","中场",47,26,25,29,5,18,25,1593,0.878,17,0,0,115,7,22,"英超",21,630
"贝莱林","阿森纳","19(1)",1533,"0",0,18,4,"0%",6,1,0,"1995-03-19","右脚","西班牙","2023-06-30","后卫",16,18,33,15,4,21,16,781,0.844,8,5,306.6,40,6,14,"英超",21,3600
"扎卡","阿森纳","29",2501,"4",625.2,29,12,"13.8%",51,1,3,"1992-09-27","左脚","瑞士、科索沃","2023-06-30","中场",50,33,55,17,9,52,45,2243,0.854,40,2,1250.5,256,5,6,"英超",21,3600
"切赫","阿森纳","7",585,"0",0,0,0,"0%",2,0,1,"1982-05-20","左脚","捷克","2019-06-30","守门员",1,0,8,0,0,2,0,221,0.688,0,0,0,102,0,0,"英超",21,270
"莱诺","阿森纳","32(1)",2835,"0",0,0,0,"0%",5,0,0,"1992-03-04","右脚","德国","2023-06-30","守门员",0,3,31,1,0,7,0,921,0.692,0,0,0,436,0,0,"英超",21,1800
"厄齐尔","阿森纳","24(4)",1741,"5",348.2,11,6,"45.5%",22,10,3,"1988-10-15","左脚","德国","2021-06-30","中场",14,4,4,35,2,5,10,1109,0.891,44,2,870.5,37,6,20,"英超",21,4050
"科拉希纳茨","阿森纳","24(2)",1890,"0",0,9,2,"0%",10,10,0,"1993-06-20","左脚","波黑、德国","2022-06-30","后卫",32,22,26,18,3,21,21,972,0.777,31,5,378,52,3,11,"英超",21,1620
"奧巴梅扬","阿森纳","36(6)",2732,"22(4)",151.8,92,40,"19.6%",23,23,4,"1989-06-18","右脚","加蓬、法国","2021-06-30","前锋",19,8,18,36,0,33,13,685,0.743,33,5,546.4,17,3,27,"英超",21,6750
"科斯切尔尼","阿森纳","17(4)",1330,"3",443.3,5,4,"60%",15,0,1,"1985-09-10","右脚","法国、波兰","2020-06-30","后卫",19,28,68,3,15,25,9,890,0.92,2,0,0,83,0,1,"英超",21,1350
"蒙雷亚尔","阿森纳","22(1)",1861,"1",1861,7,4,"14.3%",21,1,0,"1986-02-26","左脚","西班牙","2019-06-30","后卫",35,28,53,5,9,35,17,1167,0.874,11,3,620.3,76,0,7,"英超",21,1170
"穆斯塔菲","阿森纳","31",2615,"2",1307.5,18,9,"11.1%",8,4,2,"1992-04-17","右脚","德国、阿尔巴尼亚","2021-06-30","后卫",62,59,156,6,16,120,42,1760,0.816,6,0,0,234,4,8,"英超",21,2250
"詹金森","阿森纳","3(1)",165,"0",0,0,0,"0%",0,0,0,"1992-02-08","右脚","英格兰、芬兰","2020-06-30","后卫",3,0,2,4,3,1,1,75,0.787,1,0,0,4,0,0,"英超",21,315
"姆希塔良","阿森纳","25(6)",1644,"6",274,49,14,"12.2%",10,3,1,"1989-01-21","双脚","阿美尼亚","2021-06-30","中场",27,17,11,27,2,20,27,790,0.801,29,4,411,38,4,19,"英超",21,3150
"帕帕斯塔索普洛斯","阿森纳","25",2199,"1",2199,11,2,"9.1%",24,0,0,"1988-06-09","右脚","希腊","2021-06-30","后卫",41,27,108,7,17,55,37,1384,0.895,5,2,1099.5,175,0,4,"英超",21,1800
"伊沃比","阿森纳","35(13)",1972,"3",657.3,35,14,"8.6%",13,2,0,"1996-05-03","右脚","尼日利亚、英格兰","2022-06-30","中场",27,11,11,56,1,4,8,946,0.777,38,5,394.4,56,3,46,"英超",21,1350
"维尔贝克","阿森纳","8(7)",147,"1",147,4,2,"25%",2,0,0,"1990-11-26","右脚","英格兰、加纳","2019-06-30","前锋",3,1,1,3,0,7,3,54,0.741,5,1,147,1,0,2,"英超",21,1350
"卡华特利云","埃弗顿","34(15)",1774,"6",295.7,51,16,"11.8%",32,6,0,"1997-03-16","右脚","英格兰","2023-06-30","前锋",14,7,19,39,3,108,34,429,0.622,11,2,887,17,3,20,"英超",42,1350
"科尔曼","埃弗顿","29",2560,"2",1280,15,7,"13.3%",20,3,0,"1988-10-11","右脚","爱尔兰","2022-06-30","后卫",43,27,72,26,5,45,22,1195,0.781,22,2,1280,118,0,18,"英超",42,1080
"基尼","埃弗顿","33",2970,"1",2970,31,9,"3.2%",7,0,4,"1993-01-11","右脚","英格兰、爱尔兰","2022-06-30","后卫",40,46,185,5,22,194,22,1593,0.812,8,2,1485,224,0,6,"英超",42,1800
"理查尔利逊","埃弗顿","35(3)",2730,"14",195,81,29,"17.3%",73,17,2,"1997-05-10","右脚","巴西","2023-06-30","前锋",47,15,37,88,2,66,32,789,0.686,20,1,2730,42,4,35,"英超",42,4500
"Y·米纳","埃弗顿","11(1)",890,"1",890,4,1,"25%",5,1,0,"1994-09-23","右脚","哥伦比亚","2023-06-30","后卫",13,7,49,2,5,39,13,499,0.84,3,0,0,70,0,0,"英超",42,2250
"施奈德林","埃弗顿","12(2)",833,"0",0,3,0,"0%",7,0,1,"1989-11-08","右脚","法国","2021-06-30","中场",25,14,16,6,3,19,21,536,0.888,8,1,833,43,2,1,"英超",42,1800
"汤姆.戴维斯","埃弗顿","15(5)",975,"0",0,6,2,"0%",17,1,0,"1998-06-30","右脚","英格兰","2022-06-30","中场",26,16,9,8,1,8,19,500,0.8,5,0,0,55,1,14,"英超",42,1350
"I.盖伊","埃弗顿","33(1)",2825,"0",0,19,4,"0%",38,0,1,"1989-09-26","右脚","塞内加尔","2022-06-30","中场",138,74,45,30,8,31,54,1746,0.843,18,2,1412.5,168,3,22,"英超",42,1800
"巴恩斯","埃弗顿","6(1)",376,"0",0,2,1,"0%",1,1,0,"1984-12-11","左脚","英格兰","2019-06-30","后卫",8,4,7,1,0,2,2,191,0.822,4,0,0,17,0,1,"英超",42,720
"祖玛","埃弗顿","29",2610,"2",1305,19,3,"10.5%",15,2,0,"1994-10-27","右脚","法国、中非共和国","2019-06-30","后卫",32,50,119,13,12,99,19,1442,0.836,6,2,1305,201,0,6,"英超",42,1350
"麦卡锡","埃弗顿","1(1)",14,"0",0,0,0,"0%",0,0,0,"1990-11-12","右脚","爱尔兰、苏格兰","2020-06-30","中场",2,1,0,0,0,0,0,6,1,0,0,0,0,0,0,"英超",42,720
"戈麦斯","埃弗顿","27(3)",1986,"1",1986,21,5,"4.8%",27,0,0,"1993-07-30","右脚","葡萄牙","2024-06-30","中场",40,20,18,54,4,40,49,1206,0.847,6,1,1986,137,1,38,"英超",42,2520
"托松","埃弗顿","25(15)",1050,"3",350,37,17,"8.1%",16,8,0,"1991-06-07","右脚","土耳其、德国","2022-06-30","前锋",13,5,3,17,0,34,17,260,0.704,13,3,350,9,1,2,"英超",42,2070
"迪涅","埃弗顿","35(2)",2989,"4",747.2,34,10,"11.8%",32,2,5,"1993-07-20","左脚","法国","2023-06-30","后卫",74,58,90,32,9,90,39,1455,0.76,70,4,747.2,138,0,13,"英超",42,1620
"伯纳德","埃弗顿","33(8)",2127,"1",2127,23,5,"4.3%",27,2,0,"1992-09-08","右脚","巴西、西班牙","2022-06-30","中场",45,27,12,42,2,3,17,802,0.757,40,2,1063.5,50,7,36,"英超",42,1440
"西古德森","埃弗顿","38(2)",3134,"13(2)",284.9,86,34,"12.8%",39,3,4,"1989-09-08","右脚","冰岛","2022-06-30","中场",52,29,23,33,4,17,33,995,0.763,75,6,522.3,54,18,36,"英超",42,2700
"皮克福德","埃弗顿","38",3420,"0",0,0,0,"0%",3,0,1,"1994-03-07","左脚","英格兰","2024-06-30","守门员",0,0,32,0,0,12,1,1120,0.56,1,0,0,777,0,0,"英超",42,3150
"沃尔科特","埃弗顿","36(12)",2121,"5",424.2,42,21,"11.9%",26,19,0,"1989-03-16","双脚","英格兰","2021-06-30","中场",28,22,7,40,1,16,10,579,0.718,21,2,1060.5,22,1,30,"英超",42,1800
"A.洛卡马纳","埃弗顿","21(18)",601,"0",0,12,3,"0%",21,2,0,"1997-10-20","右脚","英格兰、尼日利亚","2021-06-30","中场",15,8,2,25,0,6,8,253,0.85,10,2,300.5,5,1,22,"英超",42,1080
"肯尼","埃弗顿","10(2)",790,"0",0,3,0,"0%",1,0,0,"1997-03-15","右脚","英格兰","2022-06-30","后卫",19,16,30,9,2,23,10,427,0.714,6,1,790,59,0,5,"英超",42,450
"奥雷利亚纳","埃瓦尔","33(2)",2738,"3(1)",1369,79,26,"2.5%",59,5,4,"1986-01-27","右脚","智利","2020-06-30","中场",43,19,1,107,0,26,24,1166,0.775,48,5,547.6,66,3,81,"西甲",62,180
"拉米斯","埃瓦尔","21(1)",1683,"0",0,15,3,"0%",10,2,0,"1984-10-25","右脚","西班牙","2019-06-30","后卫",21,23,61,0,5,62,10,809,0.794,1,0,0,196,0,3,"西甲",62,45
"鲁宾彭拿","埃瓦尔","31(1)",2673,"1",2673,22,4,"4.5%",34,1,2,"1991-07-18","右脚","西班牙","2024-06-30","后卫",60,38,40,28,9,22,24,1345,0.708,45,2,1336.5,282,2,59,"西甲",62,900
"P.迪奥普","埃瓦尔","28(1)",2356,"1",2356,36,5,"2.8%",45,1,0,"1986-03-19","右脚","塞内加尔、法国","2019-06-30","中场",70,35,24,14,1,100,66,1120,0.727,10,1,2356,127,1,19,"西甲",62,90
"布拉西斯","埃瓦尔","23(7)",1544,"2",772,12,8,"16.7%",11,0,1,"1988-02-04","右脚","阿根廷","2020-06-30","中场",32,16,17,19,0,27,18,638,0.704,22,0,0,97,0,8,"西甲",62,270
"乌纳姆诺","埃瓦尔","14",1260,"0",0,0,0,"0%",0,0,0,"1983-10-06","右脚","西班牙","2019-06-30","守门员",1,0,8,0,0,1,0,349,0.524,0,0,0,299,0,0,"西甲",62,36
"迪米杜域","埃瓦尔","24",2160,"0",0,0,0,"0%",0,0,1,"1992-01-24","左脚","塞尔维亚","2021-06-30","守门员",0,3,25,1,0,7,3,683,0.442,0,0,0,592,0,0,"西甲",62,360
"莱昂","埃瓦尔","8(3)",420,"1",420,7,2,"14.3%",5,0,0,"1986-11-24","右脚","西班牙","2020-06-30","中场",7,5,1,9,0,12,5,122,0.582,3,0,0,10,0,1,"西甲",62,180
"安赫尔","埃瓦尔","1",90,"0",0,0,0,"0%",0,0,0,"1989-09-05","左脚","西班牙","2020-06-30","后卫",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"西甲",62,225
"阿尔比拉","埃瓦尔","25(3)",1968,"1",1968,18,1,"5.6%",5,0,0,"1987-05-15","右脚","西班牙","2021-06-30","后卫",30,49,90,5,4,60,14,1105,0.757,4,2,984,330,0,4,"西甲",62,180
"奎克","埃瓦尔","29(14)",1293,"3",431,44,16,"6.8%",25,10,0,"1989-11-25","右脚","西班牙","2021-06-30","前锋",7,4,7,28,0,82,32,385,0.696,14,0,0,16,0,6,"西甲",62,270
"阿尔瓦雷斯","埃瓦尔","19(7)",1064,"0",0,2,0,"0%",6,1,0,"1992-01-23","右脚","西班牙","2022-06-30","中场",33,16,40,7,4,34,19,496,0.794,2,0,0,66,0,2,"西甲",62,225
"查尔斯","埃瓦尔","34(17)",1733,"14(6)",216.6,62,30,"12.9%",29,13,2,"1984-04-04","右脚","巴西、葡萄牙","2019-06-30","前锋",8,6,15,14,1,106,38,538,0.701,15,1,1733,11,2,2,"西甲",62,135
"塞尔吉","埃瓦尔","35(5)",2593,"7",370.4,67,16,"10.4%",31,39,1,"1990-02-26","右脚","西班牙","2019-06-30","前锋",29,8,11,46,1,172,65,925,0.722,28,4,648.2,27,0,9,"西甲",62,270
"P.奥利维拉","埃瓦尔","28(4)",2242,"0",0,9,2,"0%",12,0,0,"1992-01-08","右脚","葡萄牙","2021-06-30","后卫",51,39,108,2,10,76,19,1013,0.69,1,0,0,319,0,0,"西甲",62,270
"G.埃斯卡兰特","埃瓦尔","32(14)",1781,"4",445.2,22,10,"18.2%",18,0,0,"1993-03-27","右脚","阿根廷、意大利","2020-06-30","中场",54,25,21,19,2,45,32,748,0.773,9,1,1781,75,2,22,"西甲",62,225
"比加斯","埃瓦尔","10(3)",584,"0",0,3,0,"0%",4,0,0,"1990-05-15","左脚","西班牙","2019-06-30","后卫",5,8,22,1,2,14,5,296,0.824,1,1,584,74,0,0,"西甲",62,135
"V.帕若","安格斯","13(3)",723,"0",0,13,0,"0%",12,1,0,"1990-08-19","右脚","法国","2021-06-30","中场",19,6,6,2,0,26,19,303,0.851,4,0,0,16,1,1,"法甲",NA,225
"T.曼加尼","安格斯","28(11)",1533,"3(3)",0,21,9,"0%",11,0,0,"1987-04-29","左脚","法国、意大利","2020-06-30","中场",40,20,22,24,2,14,13,1034,0.828,31,0,0,86,0,5,"法甲",NA,315
"S.巴贺根","安格斯","31(1)",2416,"11(2)",268.4,63,32,"14.3%",36,28,0,"1992-05-28","右脚","喀麦隆、法国","2022-06-30","前锋",14,8,5,59,1,34,51,431,0.742,22,1,2416,10,1,6,"法甲",NA,270
"S.巴迪斯達","安格斯","37(1)",3157,"1",3157,22,4,"4.5%",48,1,0,"1995-03-09","右脚","法国","2022-06-30","中场",114,56,48,32,4,37,51,1437,0.809,12,0,0,226,1,25,"法甲",NA,360
"R.托马斯","安格斯","27(1)",2305,"2",1152.5,14,3,"14.3%",14,0,3,"1988-06-12","右脚","法国","2022-06-30","后卫",31,29,126,2,20,66,27,1161,0.854,9,1,2305,188,1,0,"法甲",NA,315
"R.婀娜妮","安格斯","3(3)",55,"0",0,0,0,"0%",1,0,0,"2001-06-06","左脚","法国、阿尔及利亚","2021-06-30","后卫",2,0,1,0,0,0,1,31,0.871,0,0,0,0,0,0,"法甲",NA,13.5
"比勒纳德","安格斯","6",495,"0",0,1,1,"0%",1,0,0,"1994-03-04","左脚","法国","2019-06-30","后卫",12,5,13,8,2,10,10,260,0.831,4,0,0,10,0,8,"法甲",NA,180
"F.泰迪","安格斯","35(2)",2905,"6",484.2,80,37,"7.5%",67,5,3,"1993-02-02","右脚","法国","2023-06-30","中场",54,25,12,64,2,9,32,1265,0.79,67,6,484.2,94,7,73,"法甲",NA,720
"M.柏夫路域","安格斯","29(2)",2417,"2",1208.5,16,6,"12.5%",8,0,0,"1990-06-09","右脚","克罗地亚","2020-06-30","后卫",23,19,154,2,30,58,26,909,0.864,5,1,2417,114,0,1,"法甲",NA,113
"阿德莱德","安格斯","34(6)",2505,"3",835,36,15,"8.3%",67,3,2,"1998-01-17","右脚","法国","2022-06-30","中场",39,19,5,72,1,15,30,1059,0.839,29,3,835,51,3,88,"法甲",NA,270
"A.邦巴","安格斯","28",2484,"0",0,7,0,"0%",23,2,0,"1990-04-25","右脚","科特迪瓦、意大利","2021-06-30","后卫",48,28,67,13,4,22,20,895,0.774,15,4,621,101,1,13,"法甲",NA,90
"佩普 - 迪奥","安格斯","1(1)",14,"0",0,0,0,"0%",0,0,0,"1994-12-31","左脚","塞内加尔","2019-06-30","后卫",0,1,0,0,0,1,0,10,0.9,0,0,0,2,0,0,"法甲",NA,22.5
"阿卡","安格斯","18(14)",482,"2",241,19,7,"10.5%",7,0,1,"1998-02-21","右脚","法国、法国","2020-06-30","中场",0,0,2,7,0,10,11,88,0.693,6,0,0,2,0,4,"法甲",NA,90
"布特勒","安格斯","35",3150,"0",0,1,0,"0%",4,0,4,"1983-04-03","左脚","法国","2019-06-30","守门员",1,1,38,1,0,7,2,801,0.564,1,0,0,603,0,0,"法甲",NA,45
"卡皮里","安格斯","25(5)",1752,"3",584,27,6,"11.1%",8,1,1,"1987-04-15","左脚","法国","2019-06-30","中场",51,32,42,34,3,26,33,761,0.834,25,3,584,60,2,17,"法甲",NA,90
"鲍彻","安格斯","2",180,"0",0,0,0,"0%",0,0,0,"1992-03-07","右脚","法国","2019-06-30","守门员",0,0,1,0,0,2,0,44,0.5,0,0,0,30,0,0,"法甲",NA,81
"安吉洛","安格斯","30(12)",1607,"4",401.8,28,10,"14.3%",44,1,3,"1996-08-20","右脚","法国、科特迪瓦","2021-06-30","中场",35,26,11,49,3,22,20,702,0.786,39,1,1607,43,4,19,"法甲",NA,360
"洛佩斯","安格斯","18(16)",344,"2",172,10,4,"20%",12,1,0,"1989-07-24","右脚","西班牙","2020-06-30","前锋",5,1,3,8,0,17,11,96,0.698,2,0,0,0,0,1,"法甲",NA,135
"法里德.莫拉利","安格斯","36(36)",620,"0",0,14,2,"0%",14,0,0,"1997-05-05","双脚","阿尔及利亚","2023-06-30","前锋",14,12,0,28,0,2,12,254,0.756,8,2,310,22,0,16,"法甲",NA,54
"特劳雷","安格斯","30(1)",2692,"3",897.3,15,6,"20%",5,2,0,"1986-08-18","右脚","科特迪瓦、法国","2020-06-30","后卫",27,38,111,6,17,30,13,1095,0.85,4,1,2692,158,0,6,"法甲",NA,135
"芒索","安格斯","31",2790,"1",2790,16,1,"6.2%",35,0,1,"1989-07-24","右脚","法国","2020-06-30","后卫",92,38,68,15,10,20,29,1258,0.818,17,1,2790,155,1,10,"法甲",NA,180
"马克斯","奥格斯堡","30",2575,"4",643.8,24,13,"16.7%",20,2,1,"1993-09-30","左脚","德国","2022-06-30","后卫",35,23,39,15,3,25,12,821,0.716,61,2,1287.5,140,0,10,"德甲",NA,1800
"扬克尔","奥格斯堡","3(2)",70,"0",0,0,0,"0%",1,0,0,"1985-02-14","右脚","德国","2019-06-30","后卫",2,0,1,1,0,1,3,22,0.818,0,0,0,1,0,0,"德甲",NA,13.5
"西蒙艾塔","奥格斯堡","1",90,"0",0,2,0,"0%",0,0,0,"2001-01-25",NA,"德国","2020-06-30","后卫",4,3,0,0,1,2,1,30,0.5,0,0,0,4,0,1,"德甲",NA,22.5
"席贝尔","奥格斯堡","7(4)",255,"1",255,4,2,"25%",1,3,0,"1989-02-13","左脚","德国","2021-06-30","前锋",3,1,2,6,0,8,1,77,0.714,1,0,0,3,0,2,"德甲",NA,90
"莫拉维克","奥格斯堡","13(6)",757,"0",0,3,2,"0%",2,0,0,"1989-11-01","右脚","捷克","2020-06-30","中场",35,10,13,7,1,12,18,395,0.782,9,2,378.5,28,1,4,"德甲",NA,67.5
"卢泽","奥格斯堡","15(1)",1310,"0",0,0,0,"0%",1,0,1,"1987-03-10","右脚","德国","2020-06-30","守门员",0,0,4,0,0,0,0,425,0.647,0,0,0,243,0,0,"德甲",NA,45
"拜尔","奥格斯堡","33",2822,"0",0,26,10,"0%",50,0,0,"1984-05-18","右脚","德国","2019-06-30","中场",63,66,47,26,7,27,51,1565,0.762,21,1,2822,250,3,16,"德甲",NA,90
"吉费尔","奥格斯堡","4",360,"0",0,0,0,"0%",1,0,0,"1990-05-17","右脚","德国","2021-06-30","守门员",0,0,3,0,0,2,0,101,0.644,1,0,0,64,0,0,"德甲",NA,31.5
"特格尔","奥格斯堡","6(4)",292,"0",0,1,1,"0%",3,2,0,"1991-02-09","右脚","奥地利","2020-06-30","中场",6,7,3,3,0,1,2,64,0.562,3,0,0,8,0,2,"德甲",NA,45
"K.丹素","奥格斯堡","16(3)",1244,"1",1244,10,5,"10%",15,0,1,"1998-09-19","右脚","奥地利、加纳","2021-06-30","前锋",27,18,68,4,17,48,17,596,0.74,2,1,1244,141,0,2,"德甲",NA,540
"拉尼","奥格斯堡","30",2627,"4",656.8,14,5,"28.6%",23,0,0,"1994-01-27","右脚","德国、突尼斯","2021-06-30","中场",56,81,92,11,22,62,47,1239,0.82,8,1,2627,156,0,2,"德甲",NA,315
"哈恩","奥格斯堡","28(7)",2048,"4",512,37,15,"10.8%",20,20,1,"1990-08-13","右脚","德国","2022-06-30","中场",63,27,27,27,2,62,67,456,0.581,30,4,512,52,0,17,"德甲",NA,315
"拉斐尔","奥格斯堡","7(1)",547,"0",0,0,0,"0%",7,0,0,"1995-09-06","右脚","德国","2021-06-30","后卫",9,11,10,6,3,7,6,178,0.64,6,0,0,28,0,7,"德甲",NA,135
"格雷戈里奇","奥格斯堡","32(4)",2493,"6(1)",498.6,85,25,"5.9%",28,15,0,"1994-04-18","左脚","奥地利","2022-06-30","前锋",20,17,56,28,10,89,27,900,0.721,28,2,1246.5,78,1,14,"德甲",NA,1620
"施米德","奥格斯堡","28",2520,"3",840,17,9,"17.6%",22,2,2,"1990-06-22","右脚","法国","2020-06-30","后卫",45,44,55,20,9,29,21,1006,0.811,45,7,360,87,0,15,"德甲",NA,315
"F.贊臣","奥格斯堡","5(3)",204,"0",0,2,0,"0%",0,0,0,"1997-09-09","右脚","芬兰","2023-06-30","中场",4,2,3,3,0,5,4,49,0.592,2,0,0,5,0,2,"德甲",NA,270
